Grandezza,Valore,Giorno,Mese,Anno
TEMPARIA2M_MING,"5,7",8,5,2017
TEMPARIA2M_MING,"5,4",9,5,2017
TEMPARIA2M_MING,"6,9",10,5,2017
TEMPARIA2M_MING,"9,2",11,5,2017
TEMPARIA2M_MING,12,12,5,2017
TEMPARIA2M_MING,"9,3",13,5,2017
TEMPARIA2M_MING,"8,6",14,5,2017
TEMPARIA2M_MING,"9,8",15,5,2017
TEMPARIA2M_MING,"10,9",16,5,2017
TEMPARIA2M_MING,"10,7",17,5,2017
TEMPARIA2M_MING,"10,6",18,5,2017
TEMPARIA2M_MING,"10,7",19,5,2017
TEMPARIA2M_MING,"8,9",20,5,2017
TEMPARIA2M_MING,"9,2",21,5,2017
TEMPARIA2M_MING,9,22,5,2017
TEMPARIA2M_MING,"8,6",23,5,2017
TEMPARIA2M_MING,"9,4",24,5,2017
TEMPARIA2M_MING,"10,4",25,5,2017
TEMPARIA2M_MING,"8,8",26,5,2017
TEMPARIA2M_MING,"8,3",27,5,2017
TEMPARIA2M_MING,"9,3",28,5,2017
TEMPARIA2M_MING,"10,1",29,5,2017
TEMPARIA2M_MING,"8,6",30,5,2017
TEMPARIA2M_MING,"8,4",31,5,2017
TEMPARIA2M_MING,"9,2",1,6,2017
TEMPARIA2M_MING,7,2,6,2017
TEMPARIA2M_MING,11,3,6,2017
TEMPARIA2M_MING,"11,2",4,6,2017
TEMPARIA2M_MING,13,5,6,2017
TEMPARIA2M_MING,"15,2",6,6,2017
TEMPARIA2M_MING,"11,8",7,6,2017
TEMPARIA2M_MING,"9,1",8,6,2017
TEMPARIA2M_MING,"11,8",9,6,2017
TEMPARIA2M_MING,"11,5",10,6,2017
TEMPARIA2M_MING,"13,1",11,6,2017
TEMPARIA2M_MING,"11,7",12,6,2017
TEMPARIA2M_MING,"11,8",13,6,2017
TEMPARIA2M_MING,12,14,6,2017
TEMPARIA2M_MING,"12,5",15,6,2017
TEMPARIA2M_MING,"15,3",16,6,2017
TEMPARIA2M_MING,"15,3",17,6,2017
TEMPARIA2M_MING,"14,4",18,6,2017
TEMPARIA2M_MING,"13,4",19,6,2017
TEMPARIA2M_MING,"12,5",20,6,2017
TEMPARIA2M_MING,"13,6",21,6,2017
TEMPARIA2M_MING,"14,5",22,6,2017
TEMPARIA2M_MING,"15,2",23,6,2017
TEMPARIA2M_MING,"15,5",24,6,2017
TEMPARIA2M_MING,"16,1",25,6,2017
TEMPARIA2M_MING,"16,6",26,6,2017
TEMPARIA2M_MING,"20,5",27,6,2017
TEMPARIA2M_MING,"20,1",28,6,2017
TEMPARIA2M_MING,"19,7",29,6,2017
TEMPARIA2M_MING,"14,3",30,6,2017
TEMPARIA2M_MING,"12,9",1,7,2017
TEMPARIA2M_MING,"9,5",2,7,2017
TEMPARIA2M_MING,"12,8",3,7,2017
TEMPARIA2M_MING,"14,3",4,7,2017
TEMPARIA2M_MING,"14,4",5,7,2017
TEMPARIA2M_MING,"14,3",6,7,2017
TEMPARIA2M_MING,"15,4",7,7,2017
TEMPARIA2M_MING,"14,8",8,7,2017
TEMPARIA2M_MING,"14,9",9,7,2017
TEMPARIA2M_MING,"18,6",10,7,2017
TEMPARIA2M_MING,"17,4",11,7,2017
TEMPARIA2M_MING,"15,9",12,7,2017
TEMPARIA2M_MING,"16,4",13,7,2017
TEMPARIA2M_MING,"16,8",14,7,2017
TEMPARIA2M_MING,18,15,7,2017
TEMPARIA2M_MING,"14,8",16,7,2017
TEMPARIA2M_MING,"12,2",17,7,2017
TEMPARIA2M_MING,"13,4",18,7,2017
TEMPARIA2M_MING,11,19,7,2017
TEMPARIA2M_MING,"11,8",20,7,2017
TEMPARIA2M_MING,12,21,7,2017
TEMPARIA2M_MING,20,22,7,2017
TEMPARIA2M_MING,"18,2",23,7,2017
TEMPARIA2M_MING,"17,5",24,7,2017
TEMPARIA2M_MING,"14,3",25,7,2017
TEMPARIA2M_MING,"12,8",26,7,2017
TEMPARIA2M_MING,13,27,7,2017
TEMPARIA2M_MING,"14,5",28,7,2017
